id	sentences
83175	['a kite flying in the sky over a field', 'a kite flying high in the sky with a sky background', 'a plane flying in the sky over a field', 'a kite flying in a blue sky with clouds .', 'a white bird flying over a body of water .', 'a plane flying in the sky over a mountain', 'a large white bird flying over a body of water .', 'a small white bird flying over a body of water .', 'a small white bird flying over a lake .', 'a small white bird standing on top of a lake .', 'a bird flying over a body of water', 'a plane flying in the sky over a mountain .', 'a plane flying in the sky over a field .', 'a kite flying in a blue sky with clouds', 'a plane flying in the sky with a sky background', 'a kite flying in the sky over a field .', 'a bird flying over a body of water .', 'a bird flying in the sky over a body of water .', 'a kite flying in the sky with a sky background']
83525	['a plane flying in the sky over a mountain', 'a plane flying in the sky with a sky background', 'a plane flying in the sky over a mountain .']
83524	['a group of birds flying over a street .', 'a view of a city street from a cloudy sky .', 'a group of birds flying over the top of a traffic light .', 'a flock of birds flying over a street light .', 'a flock of birds sitting on top of a traffic light .', 'a view of a city street with a traffic light .', 'a group of birds flying over the top of a street .', 'a group of birds flying over a city street .', 'a view of a city skyline from a plane .', 'a flock of birds flying over a city .']
83831	['a red and white fire hydrant sitting in the middle of a field .', 'a group of people standing on top of a grass covered field .', 'a train traveling down tracks next to a lush green hillside .', 'a plane flying in the sky over a city .', 'a kite flying in the sky over a city .', 'a plane flying in the sky over some trees', 'a bird flying in the air over a building .', 'a kite flying in the sky near a tree .', 'a plane flying over a field with trees in the background .', 'a train traveling down tracks next to a forest .', 'a group of people standing on top of a lush green field .', 'a kite flying in the sky above a city .', 'a plane flying over a field with trees in the background', 'a bird flying in the air near a building', 'a group of people standing on a lush green field .', 'a bird flying in the air near a building .', 'a train traveling down tracks next to a lush green field .', 'a kite flying in the sky over a city', 'a plane flying in the sky over some trees .', 'a plane flying over a field with a lot of trees', 'a red and white fire hydrant sitting in a field .']
83522	['a group of birds flying over a street .', 'a view of a city street from a cloudy sky .', 'a group of birds flying over the top of a traffic light .', 'a flock of birds flying over a street light .', 'a flock of birds sitting on top of a traffic light .', 'a view of a city street with a traffic light .', 'a group of birds flying over a city street .', 'a view of a city skyline from a plane .', 'a flock of birds flying over a city .']
87284	['a person on a snowboard in the snow .', 'a group of people standing on top of a snow covered field .', 'a person is flying a kite in a field .', 'a group of people standing on top of a lush green field .', 'a fire hydrant in the middle of the woods', 'a fire hydrant in the middle of a forest .', 'a person is flying a kite in the sky .', 'a person is skiing down a snowy hill', 'a group of people standing on top of a snow covered slope .', 'a fire hydrant in the middle of a wooded area .', 'a person is flying a kite in a field', 'a person is skiing down a snowy hill .', 'a group of people skiing down a snow covered slope .', 'a fire hydrant in the middle of the woods .', 'a group of people riding skis on a snowy surface', 'a group of people riding skis down a snow covered slope .', 'a group of people skiing down a snow covered hill .']
81529	['an airplane is flying in the air with mountains in the background .', 'an airplane is flying in the air with a mountain in the background .', 'an airplane is flying in the sky with a mountain in the background .', 'a plane flying in the air with a sky background', 'a plane flying in the sky with a sky background', 'a plane flying in the sky over a building .']
83134	['a person is flying a kite in a field .', 'a tree with a bunch of birds on it', 'a bird perched on a tree branch in a forest .', 'a bird perched on top of a tree .', 'a man is flying a kite in a park .', 'a bird perched on top of a tree branch .', 'a person is flying a kite in the sky .', 'a view of a forest with a tree in the background .', 'a bird perched on top of a tree in a forest .', 'a view of a river with a bridge in the background .', 'a person is flying a kite in a park .', 'a tree with a bunch of birds on it .', 'a man is flying a kite in a park', 'a tree with a bunch of birds in it', 'a group of people standing on top of a lush green field .', 'a view of a river with a bridge in the distance .']
89065	['a view of a city skyline from a plane', 'a view of a city skyline from a plane .', 'a view of a city street from a plane .']
80330	['a black and white photo of a building with a clock tower .', 'a large building with a large clock tower .', 'a black and white photo of a church with a clock tower .', 'a large building with a clock tower on top of it .', 'a large building with a clock tower on top .', 'a black and white photo of a church with a steeple .']
90721	['a black and white cat sitting on top of a bed .', 'a person is flying a kite in a field .', 'a small bird sitting on top of a roof .', 'a small bird sitting on top of a window sill .', 'a small bird sitting on top of a cage .', 'a man is holding a kite in the air .', 'a person is flying a kite in a park .', 'a black and white cat sitting on top of a wooden table .', 'a person is flying a kite in a field', 'a man is holding a kite in the air', 'a man holding a red and black umbrella .', 'a black and white cat is sitting on a chair']
87817	['a person flying a kite in the sky .', 'a person flying a kite in the air .', 'a person flying a kite on a cloudy day .']
81814	['a view of a city street from the side of a street .', 'a view of a city street from a car .', 'a view of a city street with a traffic light .']
82443	['a large jetliner flying over a body of water .', 'a large jetliner flying over a large city .', 'a large jetliner flying over a large body of water .']
81741	['a kite flying in the sky over a field', 'a kite flying in the sky over a field .', 'a kite is flying over a field of grass .', 'a view of a mountain range with mountains in the background .', 'a bench sitting in the middle of a field .', 'a view of a mountain range with mountains in the distance .', 'a view of a mountain range with a plane in the background .', 'a bench sitting in the middle of a snowy field .', 'a bench sitting in the middle of a desert .']
84716	['a car parked on the side of the road', 'a car parked on the side of the road .', 'a street sign on the side of a road .', 'a black and white photo of a street sign', 'a street sign on the side of a street .', 'a black and white photo of a street sign .', 'a car parked on the side of a road next to a traffic light .', 'a black car is parked in front of a building .', 'a large building with a clock on it']
84306	['a bunch of kites flying in the sky', 'a group of people flying kites in a field .', 'a black and white photo of people flying kites .', 'a plane flying in the sky over a field', 'a group of people flying kites in the sky .', 'a plane flying in the sky over a city .', 'a black and white photo of a plane flying in the sky', 'a bunch of kites flying in the sky .', 'a group of kites flying in the sky .', 'a plane flying in the sky over a city', 'a black and white photo of a kite flying in the sky .', 'a black and white photo of a plane flying in the sky .', 'a plane flying in the sky over a field .', 'a plane flying in the sky with a sky background', 'a plane flying in the sky over a building .', 'a group of people flying kites in a park .', 'a black and white photo of people flying kites', 'an airplane flying in the sky over a mountain .', 'a plane flying in the sky over a mountain .']
84623	['a large metal object sitting on top of a table .', 'a traffic light suspended over a street at night .', 'a traffic light suspended over a street next to tall buildings .', 'a traffic light suspended over a city street .', 'a large metal object sitting on top of a wooden floor .', 'a large metal object sitting on top of a cement floor .']
84305	['a couple of people standing on top of a grass covered field .', 'a couple of people standing on a lush green field .', 'a couple of people standing on top of a lush green field .']
84535	['a person flying a kite in a city park .', 'a person flying a kite in a park .', 'a person flying a kite in a city park']
71167	['a man flying through the air while riding a snowboard .', 'a person jumping a snow board in the air', 'a man flying through the air while riding a skateboard .', 'a black and white photo of a person on a skateboard .', 'a man is standing in the middle of a street', 'a group of birds flying over a body of water .', 'a black and white photo of a person in the air .', 'a group of birds flying in the air .', 'a man is standing in front of a clock', 'a group of birds flying in the sky .', 'a man is standing in the middle of the street', 'a black and white photo of a person on a skateboard']
84531	['a person is flying a kite in a field .', 'a person flying a kite in a field .', 'a person is flying a kite in a field']
79601	['a mountain range with a mountain in the background .', 'a view of a mountain range with mountains in the background .', 'a view of a mountain range with mountains in the distance .', 'a mountain range with a bird flying over it .', 'a mountain range with a mountain in the distance .', 'a view of a mountain range with a mountain in the background .']
75934	['a large building with a clock tower on top .', 'a large clock tower towering over a city at night .', 'a large clock tower towering over a city .']
86851	['a black and white photo of a person holding a pair of scissors', 'a person on a skateboard in the air .', 'a black and white photo of a person on a computer .', 'a person on a skate board in the air', 'a person on a skateboard doing a trick in the air .', 'a person on a skateboard doing a trick .', 'a black and white photo of a person on a laptop .', 'a black and white photo of a person holding an umbrella .', 'a black and white photo of a person holding a pair of scissors .', 'a person is in the air on a skateboard .', 'a black and white photo of a person on a laptop', 'a person is in the air on a skateboard']
82907	['a black and white photo of a city skyline .', 'a black and white photo of a clock tower', 'a black and white photo of a clock tower .']
89072	['a herd of sheep grazing on a lush green hillside .', 'a couple of animals that are in the grass .', 'a couple of animals standing on top of a lush green field .', 'a couple of animals that are standing in the grass .', 'a herd of sheep standing on top of a lush green hillside .', 'a herd of sheep grazing on a lush green field .']
73065	['a train traveling over a bridge over a river .', 'a train traveling over a bridge over a lake .', 'a train traveling over a bridge over a body of water .']
70847	['a view of a city street at night', 'a view of a city street at night .', 'a kite flying in the sky over a city .', 'a person flying a kite on a cloudy day .', 'a kite flying in the sky with a sky background', 'a person flying a kite in the sky .', 'a kite flying in the sky over a city', 'a stop sign on a street with a sky background', 'a person flying a kite on a cloudy day']
86409	['a person is taking a picture of a television .', 'a person is taking a picture of the inside of a car .', 'a person is taking a picture of a bathroom .']
80930	['a picture of a building with a large window .', 'a view of a city skyline from a plane', 'a view of a city skyline from a window .', 'a person is flying a kite in the sky .', 'a view of a building with a large window .', 'a picture of a building with a large window', 'a person flying a kite in the sky', 'a person flying a kite in the sky .', 'a view of a city skyline from a plane .']
87138	['an airplane is flying over the water in a city .', 'an airplane is flying over a bridge over a body of water .', 'an airplane is flying over a bridge over a river .']
86402	['a person is flying a kite in the sky', 'a man flying through the air while riding a snowboard .', 'a person flying a kite in a cloudy sky .', 'a man flying through the air while riding a skateboard .', 'a man flying through the air on top of a skateboard .', 'a black and white photo of a plane flying in the sky', 'a person is flying a kite in the sky .', 'a black and white photo of a plane flying in the sky .', 'a person flying a kite in the sky', 'a person flying a kite in the sky .', 'a black and white photo of a plane in the air .']
90180	['a red and white fire hydrant sitting in the middle of a field .', 'a field of grass with a bunch of trees in the background', 'a field of grass with a lot of trees in the background', 'a red stop sign sitting on the side of a road .', 'a red stop sign sitting in the middle of a field .', 'a field of grass with a lot of clouds in the sky .']
80830	['a herd of sheep grazing on a lush green hillside .', 'a large body of water with a bridge in the background', 'a plane is flying over a field with mountains in the background .', 'a black and white photo of a plane', 'a train on a track with mountains in the background', 'a black and white photo of an airplane .', 'a plane is flying over a field of grass .', 'a large body of water next to a forest .', 'a black and white photo of an airplane', 'a train on a track near a body of water', 'a plane flying over a field with mountains in the background', 'a herd of sheep grazing on a lush green field .', 'a train on a track near a mountain', 'a herd of animals grazing on a lush green field .', 'a large body of water with a bridge in the background .']
90768	['a close up of a traffic light with a blurry background', 'a large jetliner flying over a large city .', 'a hand holding a remote control in front of a tv .', 'a picture of a person in a mirror .', 'a close up of a street light with a blurry background', 'a close up of a person holding a wii remote', 'a large jetliner flying over a lush green hillside .', 'a close up of a person holding a remote control', 'a close up of a traffic light with a sky background', 'a large jetliner flying over a lush green field .', 'a picture of a person in a room .', 'a picture of a person holding a camera .']
91057	['a bird is flying in the air over the snow .', 'a person holding an umbrella in the rain .', 'a black and white photo of a person using a laptop', 'a black and white photo of a person holding a soccer ball', 'a black and white photo of a person holding a remote .', 'a bird is perched on a branch of a tree', 'a black and white photo of a person holding a kite', 'a black and white photo of a person on a motorcycle .', 'a person holding an umbrella in the rain', 'a black and white photo of a person holding a remote control .', 'a bird is perched on a branch of a tree .', 'a black and white photo of a person holding a soccer ball .', 'a black and white photo of a bird', 'a person is holding an umbrella in the rain .', 'a black and white photo of a man holding a soccer ball .']
81121	['a red fire hydrant sitting in the middle of a forest .', 'a red fire hydrant in the middle of a forest .', 'a red fire hydrant sitting in the middle of a field .']
84862	['a car stopped at a red light at night', 'a car driving down a street next to tall buildings .', 'a car stopped at a red light at night .', 'a car driving down a street next to a traffic light .', 'a car driving down a street in front of a tall building .', 'a car driving down a street in a city .', 'a car driving down a street with traffic lights .']
80125	['a kite flying in the sky over a city .', 'a kite flying high in the sky over a city .', 'a clock tower in the middle of a building .', 'a clock tower in the middle of a city', 'a kite flying in the sky over a city', 'a clock tower in the middle of a city .']
83625	['a plane is flying in the sky on a clear day .', 'a plane is flying in the sky on a cloudy day .', 'a plane flying in the sky with a sky background']
81538	['a dog is standing in the middle of a garden .', 'a dog is standing in the grass near a tree .', 'a dog is in the middle of a garden']
88392	['a train on a train track with a sky background', 'a train on a track near a building', 'a plane is flying in the sky with a sky background', 'a plane is flying in the air with a sky background', 'a plane flying in the air with a sky background', 'a train on a train track near a building']
90854	['a close up view of a red and white bird .', 'a close up of a green and white bird on a branch .', 'a close up of a red and white <UNK>', 'a close up of a red and white bird on a table', 'a plane flying high in the sky with a sky background', 'a close up of a red and white bird on a table .', 'a close up of a green and white bird in a tree .', 'a plane flying in the sky with a sky background', 'a plane flying high in the sky with clouds in the sky']
83655	['a red stop sign sitting in the middle of a lush green field .', 'a red stop sign sitting on the side of a road .', 'a red stop sign sitting in the middle of a field .']
89309	['a train traveling through a rural country side .', 'a person is flying a kite in a field .', 'a person flying a kite in a cloudy sky .', 'a street sign on a pole on a street', 'a bicycle is parked on the side of the road .', 'a train on a track near a field', 'a person is flying a kite in the sky .', 'a bicycle is parked on the side of a road .', 'a street sign on a pole on a street .', 'a train traveling through a rural countryside filled with trees .', 'a person flying a kite in the sky', 'a person is flying a kite in a field', 'a person flying a kite in the sky .', 'a group of people standing on top of a lush green field .', 'a street sign on a pole on a city street', 'a train traveling through a lush green countryside .']
87034	['a view of an airplane window from a plane .', 'a cell phone sitting on top of a table .', 'a laptop computer sitting on top of a wooden desk .', 'a view of a plane from the window .', 'a laptop computer sitting on top of a table .', 'a view of a street light from a plane .', 'a cell phone sitting on top of a table next to a keyboard .', 'a picture of an airplane flying in the sky', 'a view of a stop sign and a sign .', 'a view of a plane from the window of a plane .', 'a view of a street light from a window .', 'a picture of an airplane flying in the air .', 'a close up of a cell phone on a table', 'a laptop computer sitting on top of a desk .', 'a picture of an airplane flying in the sky .']
87586	['a plane flying over a city at sunset', 'a plane flying over a city at night .', 'a dark night sky with a clock tower in the background .', 'a dark night sky with a clock tower .', 'a dark night sky with a clock tower in the distance .', 'a plane flying over a city at night', 'a plane flying over a city at sunset .']
90956	['a person riding a snow board in the air', 'a black and white photo of a snow covered mountain .', 'a person on a surfboard in the water .', 'a black and white photo of an airplane wing', 'an airplane wing flying over a body of water .', 'a bird flying over a mountain with a sky background', 'a black and white photo of an airplane wing .', 'a snow covered mountain with a lot of snow on it', 'a plane flying over a mountain with a sky background', 'a person on a surfboard riding a wave .', 'a person is flying a kite in the air .', 'a person on a surf board riding a wave', 'a man riding a snowboard down a snow covered slope .', 'a view of a plane wing from the wing of a plane .', 'a snow covered mountain with a lot of snow .', 'a view of a snowy mountain from a plane .', 'an airplane flying over a mountain with a sky background', 'a view of a mountain range from a plane .', 'a man flying through the air while riding a snowboard .', 'a man flying through the air while riding a surfboard .', 'a person riding a snow board on a snowy surface', 'an airplane wing flying over a body of water', 'a snow covered mountain with a lot of snow on it .', 'a view of a mountain range from a plane window .']
83233	['a city street at night with a traffic light', 'a group of people standing on top of a snow covered field .', 'a group of people standing on top of a snow covered slope .', 'a city street at night with a clock tower', 'a group of people standing on top of a hill .', 'a city street at night with a traffic light .']
82617	['a view of a city street from a distance .', 'a view of a city street with a traffic light .', 'a view of a city street from the side of the road .']
83234	['a city street at night with a traffic light', 'a group of people standing on top of a snow covered field .', 'a group of people standing on top of a snow covered slope .', 'a view of a city at night with a cloudy sky .', 'a view of a city skyline from a plane', 'a view of a city skyline from the airplane .', 'a view of a city street from a plane .', 'a view of a city at night with a clock tower .', 'a city street at night with a clock tower', 'a man is standing on a street corner', 'a view of a city street with a traffic light .', 'a group of people standing on top of a hill .', 'a view of a city skyline from across the sky .', 'a city street at night with a traffic light .', 'a large jetliner flying over a city street .', 'a view of a city skyline from the airport .', 'a view of a city skyline from a plane .', 'a man is standing on a street corner .', 'a man is standing on the side of the road .']
83013	['a plane flying through a cloudy sky with smoke pouring out of it .', 'a plane flying through a cloudy sky with a sky background', 'a black and white photo of a person holding a kite', 'a black and white photo of a person holding a kite .', 'a plane flying in the sky with a sky background', 'a black and white photo of a man holding a kite .']
80054	['a man is standing on a boat in the water .', 'a man flying a kite in a cloudy sky', 'a man is standing in the water with a kite .', 'a large airplane flying over a snow covered mountain .', 'a large airplane flying over a body of water .', 'a man flying a kite in the sky .', 'a black and white photo of a computer keyboard .', 'a large airplane flying over a large body of water .', 'a black and white photo of a computer mouse', 'a man is standing on a boat in the water', 'a man flying a kite in a cloudy sky .', 'a black and white photo of a computer mouse .']
82834	['a black and white photo of a bird flying in the sky .', 'a kite flying in a blue sky with clouds .', 'a blue and white bird flying in the sky .', 'a plane flying in a blue sky with clouds .', 'a plane flying in a blue sky with clouds', 'a black and white photo of a kite flying in the sky .', 'a kite flying in a blue sky with clouds', 'a plane flying in the sky with a sky background', 'a kite flying in the sky with a sky background']
83010	['a couple of people standing next to each other on a court .', 'a couple of people standing on top of a beach .', 'a couple of people standing on top of a tennis court .', 'a man standing in front of a tv with a clock .', 'a white and black clock on a pole', 'a group of people standing on top of a beach .', 'a couple of people standing next to each other .', 'a group of people standing on top of a beach flying kites .', 'a group of people standing on top of a sandy beach .', 'a white and black clock on a white building', 'a man is standing in front of a television', 'a white and black clock on a white pole', 'a man is standing in front of a large screen']
85964	['a wooden bench sitting in front of a tree .', 'a bench sitting in the middle of a park .', 'a wooden bench sitting in front of a building .', 'a wooden bench sitting next to a lake .', 'a wooden bench sitting in front of a fence .', 'a wooden bench sitting next to a river .']
89714	['a kite flying in the sky over a field', 'a car is parked on the side of the road', 'a person is flying a kite in a field .', 'a kite is flying high in the sky .', 'a blurry photo of a person in a dark room .', 'a red and white plane flying over a large body of water .', 'a car driving down a street with a traffic light in the background .', 'a car parked on the side of a road next to a parking meter .', 'a person is flying a kite in the sky .', 'a car parked on the side of a road next to a fire hydrant .', 'a blurry image of a person in a black and white photo', 'a red and white plane flying over a field .', 'a plane flying in the sky over a field .', 'a blurry photo of a person in a black and white photo', 'a car parked on the side of a road next to a tree .', 'a car is parked on the side of the road .', 'a person flying a kite in the sky .', 'a car driving down a street with a traffic light .', 'a car parked in front of a building .', 'a kite flying in the sky over a field .']
88347	['a person is flying a kite in a field .', 'a view of a mountain range with mountains in the background .', 'a view of a mountain range with mountains in the distance .', 'a view of a mountain range with a mountain in the background .', 'a person is flying a kite in a field', 'a person riding a snowboard down a snow covered slope .', 'a person on a snow board in the snow .', 'a person on a snowboard in the snow .', 'a person is flying a kite in the snow .']
89377	['a train on a train track near a field', 'a large clock tower in the middle of a park .', 'a train traveling through a rural countryside filled with lots of trees .', 'a train traveling through a rural countryside filled with trees .', 'a large clock tower in the middle of a field .', 'a large clock tower in the middle of a field']
81837	['a close up of an illuminated clock on a building', 'a close up of an illuminated clock on a city street', 'a close up of an illuminated clock on a building .']
81836	['a close up of an illuminated clock on a building', 'a close up of an illuminated clock on a city street', 'a close up of an illuminated clock on a building .']
80597	[]
80596	[]
89651	['a person holding a pair of scissors in their hands', 'a person holding a pair of scissors in front of them .', 'a blue and yellow fire hydrant sitting on a beach .', 'a blue and white kite flying in the sky .', 'a person holding a pair of scissors in their hands .', 'a blue and white kite flying in the sky']
86769	['a television that is sitting on a pole .', 'a close up of a person holding a nintendo wii remote', 'a television that is on top of a pole .', 'a close up of a person holding a wii remote', 'a television that is on top of a building .', 'a close up of a person holding a cell phone', 'a close up of a person holding a laptop', 'a person holding a cell phone in their hand .']
89657	['a close up of a traffic light with a sky background', 'a close up of a traffic light with a blurry background', 'a close up of a person holding a kite']
80592	[]
85244	['a group of people riding skis down a snow covered mountain .', 'a group of people riding skis on top of a snow covered slope .', 'a group of people riding skis down a snow covered slope .']
90539	['a couple of animals that are in the grass .', 'a giraffe standing in the middle of a lush green field .', 'a person standing in a field with a kite', 'a giraffe standing in the middle of a field', 'a couple of animals that are standing in the grass .', 'a person standing in a field flying a kite .', 'a giraffe standing in the middle of a field .', 'a person standing in a field with a kite .', 'a lone giraffe standing in a grassy field .', 'a giraffe standing in the middle of a grassy field .']
81336	['a black and white photo of a person holding a black umbrella', 'a black and white photo of a person in a dark night .', 'a black and white photo of a person with a red umbrella']
80759	['a person on a beach with a surfboard .', 'a person standing on a beach with a surfboard .', 'a person on a beach with a surfboard']
81331	['a person standing in front of a building holding a kite .', 'a person is flying a kite in the sky .', 'a person is flying a kite in the dark .', 'a close up of a green and white flower in a vase .', 'a person holding an umbrella in front of a building .', 'a close up of a green and white <UNK>', 'a person holding an umbrella in front of a building', 'a man flying a kite in a cloudy sky .', 'a close up of a green and white flower .']
81332	['a view of a city street at night time .', 'a view of a city street at night .', 'a view of a city street at night time']
91025	['a train traveling down train tracks next to a forest .', 'a train traveling down train tracks near a forest .', 'a train traveling down tracks next to a forest .']
80206	['a plane is flying in the sky on a clear day .', 'a plane is flying in the sky on a cloudy day .', 'a plane flying in the sky with a sky background']
85325	['a person on a beach with a kite .', 'a person on a beach flying a kite', 'a person on a beach flying a kite .']
85324	['a black and white photo of a traffic light .', 'a view of a city street at night', 'a traffic light suspended over a street next to a tall building .', 'a view of a city street at night .', 'a traffic light suspended over a street at night .', 'a traffic light suspended over a street next to tall buildings .', 'a traffic light suspended over a city street .', 'a person is flying a kite in the sky .', 'a group of birds flying through a cloudy sky .', 'a black and white photo of a street light', 'a dark night sky with a clock tower .', 'a black and white photo of a clock tower .', 'a group of birds flying in the sky .', 'a black and white photo of a street light .', 'a person is flying a kite in the air .', 'a group of birds flying through a cloudy sky', 'a view of a city street with a clock tower .', 'a person is flying a kite in the air']
89445	['a view of a window from a plane .', 'a view of a city street from a plane .', 'a view of a plane wing from a plane window .', 'a view of a window from a plane window .', 'a view of a city street from a window', 'a view of a city street from a window .']
79680	['a close up of a red and white kite .', 'a close up of a yellow and blue kite .', 'a close up of a red and white traffic light .']
81583	['a view of a street light from a car window .', 'a view of a plane in the air from the ground .', 'a person taking a picture of a plane in the air .', 'a view of a street light from a window .', 'a person taking a picture of a person on a surfboard .', 'a view of an airplane in the sky .', 'a person taking a picture of a plane in the sky .', 'a view of a plane in the air from the sky .', 'a view of a city street from a window .']
